,Player,year_start,year_end
0,Alaa Abdelnaby,1991,1995
1,Mahmoud Abdul-Rauf,1991,2001
2,Tariq Abdul-Wahad,1998,2003
3,Shareef Abdur-Rahim,1997,2008
4,Alex Abrines,2017,2018
5,Alex Acker,2006,2009
6,Quincy Acy,2013,2018
7,Hassan Adams,2007,2009
8,Jordan Adams,2015,2016
9,Steven Adams,2014,2018
10,Bam Adebayo,2018,2018
11,Jeff Adrien,2011,2015
12,Arron Afflalo,2008,2018
13,Maurice Ager,2007,2011
14,Blake Ahearn,2008,2012
15,Alexis Ajinca,2009,2017
16,Josh Akognon,2013,2013
17,Solomon Alabi,2011,2012
18,Furkan Aldemir,2015,2015
19,Cole Aldrich,2011,2018
20,LaMarcus Aldridge,2007,2018
21,Cliff Alexander,2016,2016
22,Cory Alexander,1996,2005
23,Courtney Alexander,2001,2003
24,Gary Alexander,1994,1994
25,Joe Alexander,2009,2010
26,Victor Alexander,1992,2002
27,Jarrett Allen,2018,2018
28,Jerome Allen,1996,1997
29,Kadeem Allen,2018,2018
30,Lavoy Allen,2012,2017
31,Malik Allen,2002,2011
32,Ray Allen,1997,2014
33,Tony Allen,2005,2018
34,Lance Allred,2008,2008
35,Morris Almond,2008,2012
36,Derrick Alston,1995,1997
37,Rafer Alston,2000,2010
38,Peter Aluma,1999,1999
39,John Amaechi,1996,2003
40,Ashraf Amaya,1996,1997
41,Al-Farouq Aminu,2011,2018
42,Lou Amundson,2007,2016
43,Chris Andersen,2002,2017
44,David Andersen,2010,2011
45,Alan Anderson,2006,2017
46,Antonio Anderson,2010,2010
47,Derek Anderson,1998,2008
48,Eric Anderson,1993,1994
49,James Anderson,2011,2016
50,Justin Anderson,2016,2018
51,Kenny Anderson,1992,2005
52,Kyle Anderson,2015,2018
53,Ryan Anderson,2009,2018
54,Shandon Anderson,1997,2006
55,Martynas Andriuskevicius,2006,2006
56,Ike Anigbogu,2018,2018
57,Chris Anstey,1998,2000
58,Giannis Antetokounmpo,2014,2018
59,Thanasis Antetokounmpo,2016,2016
60,Carmelo Anthony,2004,2018
61,Greg Anthony,1992,2002
62,Joel Anthony,2008,2017
63,Pero Antic,2014,2015
64,OG Anunoby,2018,2018
65,Keith Appling,2016,2016
66,Rafael Araujo,2005,2007
67,Robert Archibald,2003,2004
68,Ryan Arcidiacono,2018,2018
69,Gilbert Arenas,2002,2012
70,Trevor Ariza,2005,2018
71,Brandon Armstrong,2002,2004
72,Darrell Armstrong,1995,2008
73,Hilton Armstrong,2007,2014
74,Carlos Arroyo,2002,2011
75,Darrell Arthur,2009,2018
76,Jamel Artis,2018,2018
77,Omer Asik,2011,2018
78,Keith Askins,1991,1999
79,Chucky Atkins,2000,2010
80,Stacey Augmon,1992,2006
81,D.J. Augustin,2009,2018
82,James Augustine,2007,2008
83,Isaac Austin,1992,2002
84,Anthony Avent,1993,2000
85,William Avery,2000,2002
86,Gustavo Ayon,2012,2014
87,Jeff Ayres,2010,2016
88,Kelenna Azubuike,2007,2012
89,Chris Babb,2014,2014
90,Luke Babbitt,2011,2018
91,Milos Babic,1991,1992
92,Dwayne Bacon,2018,2018
93,Dalibor Bagaric,2001,2003
94,Toby Bailey,1999,2000
95,Cameron Bairstow,2015,2016
96,LaMark Baker,1999,1999
97,Maurice Baker,2005,2005
98,Ron Baker,2017,2018
99,Vin Baker,1994,2006
100,Wade Baldwin,2017,2017
101,Renaldo Balkman,2007,2012
102,Cedric Ball,1991,1991
103,Lonzo Ball,2018,2018
104,Marcus Banks,2004,2011
105,Leandro Barbosa,2004,2017
106,Steve Bardo,1992,1996
107,J.J. Barea,2007,2018
108,Andrea Bargnani,2007,2016
109,Erick Barkley,2001,2002
110,Harrison Barnes,2013,2018
111,Matt Barnes,2004,2017
112,Andre Barrett,2005,2008
113,Earl Barron,2006,2015
114,Brent Barry,1996,2009
115,Drew Barry,1998,2000
116,Jon Barry,1993,2006
117,Will Barton,2013,2018
118,Eddie Basden,2006,2006
119,Brandon Bass,2006,2017
120,Maceo Baston,2003,2009
121,Mengke Bateer,2002,2004
122,Esteban Batista,2006,2007
123,Mike Batiste,2003,2003
124,Tony Battie,1998,2012
125,Shane Battier,2002,2014
126,Nicolas Batum,2009,2018
127,Lonny Baxter,2003,2006
128,Jerryd Bayless,2009,2018
129,Aron Baynes,2013,2018
130,Sergei Bazarevich,1995,1995
131,Kent Bazemore,2013,2018
132,Bradley Beal,2013,2018
133,Jerome Beasley,2004,2004
134,Malik Beasley,2017,2018
135,Michael Beasley,2009,2018
136,Rodrigue Beaubois,2010,2013
137,Corey Beck,1996,1999
138,Marco Belinelli,2008,2018
139,Charlie Bell,2002,2011
140,Jordan Bell,2018,2018
141,Raja Bell,2001,2012
142,Troy Bell,2004,2004
143,DeAndre' Bembry,2017,2018
144,Dragan Bender,2017,2018
145,Jonathan Bender,2000,2010
146,Jerrelle Benimon,2015,2015
147,Corey Benjamin,1999,2003
148,Anthony Bennett,2014,2017
149,Elmer Bennett,1995,1997
150,Mario Bennett,1996,2000
151,Tony Bennett,1993,1995
152,David Benoit,1992,2001
153,Keith Benson,2012,2012
154,Ben Bentil,2017,2017
155,Davis Bertans,2017,2018
156,Travis Best,1996,2005
157,Patrick Beverley,2013,2018
158,Sim Bhullar,2015,2015
159,Mike Bibby,1999,2012
160,Andris Biedrins,2005,2014
161,Chauncey Billups,1998,2014
162,Khem Birch,2018,2018
163,Jabari Bird,2018,2018
164,Bismack Biyombo,2012,2018
165,Nemanja Bjelica,2016,2018
166,Tarik Black,2015,2018
167,Alex Blackwell,1993,1993
168,James Blackwell,1995,1995
169,DeJuan Blair,2010,2016
170,Steve Blake,2004,2016
171,Antonio Blakeney,2018,2018
172,Will Blalock,2007,2007
173,Lance Blanks,1991,1993
174,Ricky Blanton,1993,1993
175,Andray Blatche,2006,2014
176,Eric Bledsoe,2011,2018
177,Corie Blount,1994,2004
178,Mark Blount,2001,2009
179,Vander Blue,2014,2018
180,Tony Bobbitt,2005,2005
181,Keith Bogans,2004,2014
182,Bogdan Bogdanovic,2018,2018
183,Bojan Bogdanovic,2015,2018
184,Andrew Bogut,2006,2018
185,Etdrick Bohannon,1998,2001
186,Joel Bolomboy,2017,2018
187,Walter Bond,1993,1995
188,Dexter Boney,1997,1997
189,Anthony Bonner,1991,1996
190,Matt Bonner,2005,2016
191,Devin Booker,2016,2018
192,Melvin Booker,1996,1997
193,Trevor Booker,2011,2018
194,Josh Boone,2007,2010
195,Calvin Booth,2000,2009
196,Keith Booth,1998,1999
197,Carlos Boozer,2003,2015
198,Curtis Borchardt,2004,2005
199,Lazaro Borrell,2000,2000
200,Chris Bosh,2004,2016
201,Ruben Boumtje-Boumtje,2002,2004
202,Cal Bowdler,2000,2002
203,Bruce Bowen,1997,2009
204,Ryan Bowen,2000,2010
205,Ira Bowman,2000,2002
206,Donnie Boyce,1996,1997
207,Earl Boykins,1999,2012
208,Cedric Bozeman,2007,2007
209,Craig Brackins,2011,2012
210,Avery Bradley,2011,2018
211,Michael Bradley,2002,2006
212,Shawn Bradley,1994,2005
213,Tony Bradley,2018,2018
214,Mark Bradtke,1997,1997
215,Marques Bragg,1996,1996
216,Torraye Braggs,2004,2005
217,A.J. Bramlett,2000,2000
218,Elton Brand,2000,2016
219,Terrell Brandon,1992,2002
220,Tim Breaux,1995,1998
221,J.R. Bremer,2003,2004
222,Corey Brewer,2008,2018
223,Jamison Brewer,2002,2005
224,Ronnie Brewer,2007,2014
225,Primoz Brezec,2002,2010
226,Jon Brockman,2010,2012
227,Malcolm Brogdon,2017,2018
228,Aaron Brooks,2008,2018
229,Dillon Brooks,2018,2018
230,Kevin Brooks,1992,1994
231,MarShon Brooks,2012,2014
232,Andre Brown,2007,2009
233,Anthony Brown,2016,2017
234,Bobby Brown,2009,2018
235,Damone Brown,2002,2005
238,Derrick Brown,2010,2012
239,Devin Brown,2003,2010
240,Ernest Brown,2002,2002
241,Gerald Brown,1999,1999
242,Jabari Brown,2015,2015
243,Jaylen Brown,2017,2018
244,Kedrick Brown,2002,2005
245,Kwame Brown,2002,2013
246,Lorenzo Brown,2014,2018
247,Marcus Brown,1997,2000
248,Markel Brown,2015,2016
249,Myron Brown,1992,1992
250,P.J. Brown,1994,2008
251,Randy Brown,1992,2003
252,Shannon Brown,2007,2015
253,Sterling Brown,2018,2018
254,Tierre Brown,2002,2005
255,Rick Brunson,1998,2006
256,Nicolas Brussino,2017,2018
257,Kobe Bryant,1997,2016
258,Thomas Bryant,2018,2018
259,Greg Buckner,2000,2009
260,Chase Budinger,2010,2016
261,Jud Buechler,1991,2002
262,Rodney Buford,2000,2005
263,Matt Bullard,1991,2002
264,Reggie Bullock,2014,2018
265,Pat Burke,2003,2007
266,Trey Burke,2014,2017
267,Alec Burks,2012,2018
268,Antonio Burks,2005,2006
269,Kevin Burleson,2006,2006
270,Evers Burns,1994,1994
271,Scott Burrell,1994,2001
272,Junior Burrough,1996,1996
273,Willie Burton,1991,1999
274,Caron Butler,2003,2016
275,Jackie Butler,2005,2007
276,Jimmy Butler,2012,2018
277,Mitchell Butler,1994,2004
278,Rasual Butler,2003,2016
279,Dwight Buycks,2014,2015
280,Derrick Byars,2012,2012
281,Andrew Bynum,2006,2014
282,Will Bynum,2006,2015
283,Zarko Cabarkapa,2004,2006
284,Bruno Caboclo,2015,2018
285,Jason Caffey,1996,2003
286,Nick Calathes,2014,2015
287,Jose Calderon,2006,2018
288,Kentavious Caldwell-Pope,2014,2018
289,Demetrius Calip,1992,1992
290,Rick Calloway,1991,1991
291,Dexter Cambridge,1993,1993
292,Marcus Camby,1997,2013
293,Elden Campbell,1991,2005
294,Isaiah Canaan,2014,2018
295,Clint Capela,2015,2018
296,Derrick Caracter,2011,2011
297,Brian Cardinal,2001,2012
298,Geno Carlisle,2005,2005
299,Rodney Carney,2007,2011
300,Chris Carr,1996,2001
301,Cory Carr,1999,1999
302,DeMarre Carroll,2010,2018
303,Matt Carroll,2004,2013
304,Jimmy Carruth,1997,1997
305,Anthony Carter,2000,2012
306,Maurice Carter,2004,2004
307,Vince Carter,1999,2018
308,Michael Carter-Williams,2014,2018
309,Alex Caruso,2018,2018
310,Sam Cassell,1994,2008
311,Omri Casspi,2010,2018
312,Kelvin Cato,1998,2007
313,Willie Cauley-Stein,2016,2018
314,Duane Causwell,1991,2001
315,Tyler Cavanaugh,2018,2018
316,Cedric Ceballos,1991,2001
317,John Celestand,2000,2000
318,Lionel Chalmers,2005,2005
319,Mario Chalmers,2009,2018
320,Tyson Chandler,2002,2018
321,Wilson Chandler,2008,2018
322,Calbert Cheaney,1994,2006
323,Will Cherry,2015,2015
324,Pete Chilcutt,1992,2000
325,Josh Childress,2005,2014
326,Randolph Childress,1996,1997
327,Chris Childs,1995,2003
328,Marquese Chriss,2017,2018
329,Doug Christie,1993,2007
330,Dionte Christmas,2014,2014
331,Rakeem Christmas,2016,2017
332,Semaj Christon,2017,2017
333,Patrick Christopher,2015,2015
334,Robert Churchwell,1996,1996
335,Earl Clark,2010,2015
336,Ian Clark,2014,2018
337,Keon Clark,1999,2004
338,Coty Clarke,2016,2016
339,Jordan Clarkson,2015,2018
340,Gian Clavell,2018,2018
341,Victor Claver,2013,2015
342,Charles Claxton,1996,1996
343,Speedy Claxton,2002,2009
344,Mateen Cleaves,2001,2006
345,Antonius Cleveland,2018,2018
346,Keith Closs,1998,2000
347,Richard Coffey,1991,1991
348,John Coker,1996,2001
349,Norris Cole,2012,2017
350,Derrick Coleman,1991,2005
351,Bimbo Coles,1991,2004
352,Jason Collier,2001,2005
353,James Collins,1998,1998
354,Jarron Collins,2002,2011
355,Jason Collins,2002,2014
356,John Collins,2018,2018
357,Mardy Collins,2007,2010
358,Sherron Collins,2011,2011
359,Zach Collins,2018,2018
360,Kyle Collinsworth,2018,2018
361,Darren Collison,2010,2018
362,Nick Collison,2005,2018
363,Sean Colson,2001,2001
364,Mike Conley,2008,2018
365,Marty Conlon,1992,2000
366,Pat Connaughton,2016,2018
367,Will Conroy,2007,2013
368,Anthony Cook,1991,1996
369,Brian Cook,2004,2012
370,Daequan Cook,2008,2013
371,Omar Cook,2004,2005
372,Quinn Cook,2017,2018
373,Charles Cooke,2018,2018
374,Jack Cooley,2015,2018
375,Duane Cooper,1993,1994
376,Tom Copa,1992,1992
377,Chris Copeland,2013,2016
378,Chris Corchiani,1992,1994
379,Matt Costello,2018,2018
380,Bryce Cotton,2015,2016
381,James Cotton,1998,1999
382,Joe Courtney,1993,1997
383,Marcus Cousin,2011,2011
384,DeMarcus Cousins,2011,2018
385,Robert Covington,2014,2018
386,Allen Crabbe,2014,2018
387,Torrey Craig,2018,2018
388,Chris Crawford,1998,2004
389,Jamal Crawford,2001,2018
390,Joe Crawford,2009,2009
391,Jordan Crawford,2011,2018
392,Joe Crispin,2002,2002
393,Javaris Crittenton,2008,2009
394,Austin Croshere,1998,2009
395,John Crotty,1993,2003
396,Corey Crowder,1992,1995
397,Jae Crowder,2013,2018
398,Vonteego Cummings,2000,2002
399,Dante Cunningham,2010,2018
400,Jared Cunningham,2013,2016
401,William Cunningham,1998,1999
402,Radisav Curcic,1993,1993
403,Bill Curley,1995,2001
404,Eddy Curry,2002,2013
405,JamesOn Curry,2010,2010
406,Michael Curry,1994,2005
407,Seth Curry,2014,2017
408,Stephen Curry,2010,2018
409,Rastko Cvetkovic,1996,1996
410,Samuel Dalembert,2002,2015
411,Erick Dampier,1997,2012
412,Antonio Daniels,1998,2011
413,Erik Daniels,2005,2005
414,Lloyd Daniels,1993,1998
415,Marquis Daniels,2004,2013
416,Troy Daniels,2014,2018
417,Sasha Danilovic,1996,1997
418,Yinka Dare,1995,1998
419,Luigi Datome,2014,2015
420,Kornel David,1999,2001
421,Jermareo Davidson,2008,2009
422,Brandon Davies,2014,2015
423,Anthony Davis,2013,2018
424,Antonio Davis,1994,2006
425,Baron Davis,2000,2012
426,Ben Davis,1997,2000
427,Brian Davis,1994,1994
428,Dale Davis,1992,2007
429,Deyonta Davis,2017,2018
430,Ed Davis,2011,2018
431,Emanual Davis,1997,2003
432,Glen Davis,2008,2015
433,Hubert Davis,1993,2004
434,Josh Davis,2004,2012
435,Mark Davis,1996,2000
436,Paul Davis,2007,2010
437,Ricky Davis,1999,2010
438,Andre Dawkins,2015,2015
439,Branden Dawson,2016,2016
440,Eric Dawson,2012,2012
441,Tony Dawson,1991,1995
442,Todd Day,1993,2001
443,Austin Daye,2010,2015
444,Nando De Colo,2013,2014
445,Andrew DeClercq,1996,2005
446,Dewayne Dedmon,2014,2018
447,Terry Dehere,1994,1999
448,Bryce Dejean-Jones,2016,2016
449,Sam Dekker,2016,2018
450,Malcolm Delaney,2017,2018
451,Bison Dele,1992,1999
452,Carlos Delfino,2005,2013
453,Tony Delk,1997,2006
454,Matthew Dellavedova,2014,2018
455,Dell Demps,1994,1997
456,Luol Deng,2005,2018
457,Justin Dentmon,2012,2013
458,DeMar DeRozan,2010,2018
459,Derrick Dial,2000,2004
460,Cheick Diallo,2017,2018
461,Boris Diaw,2004,2017
462,Yakhouba Diawara,2007,2010
463,Guillermo Diaz,2008,2008
464,Dan Dickau,2003,2008
465,Kaniel Dickens,2004,2008
466,Michael Dickerson,1999,2003
467,Travis Diener,2006,2010
468,Gorgui Dieng,2014,2018
469,Spencer Dinwiddie,2015,2018
470,Ike Diogu,2006,2012
471,DeSagana Diop,2002,2013
472,Juan Dixon,2003,2009
473,Aleksandar Djordjevic,1997,1997
474,Michael Doleac,1999,2008
475,Keyon Dooling,2001,2013
476,Joey Dorsey,2009,2015
477,Tyler Dorsey,2018,2018
478,Damyean Dotson,2018,2018
479,Quincy Douby,2007,2009
480,Toney Douglas,2010,2017
481,Chris Douglas-Roberts,2009,2015
482,Zabian Dowdell,2011,2011
483,Goran Dragic,2009,2018
484,Zoran Dragic,2015,2015
485,Bryce Drew,1999,2004
486,Larry Drew,2015,2015
487,Nate Driggers,1997,1997
488,Predrag Drobnjak,2002,2005
489,Andre Drummond,2013,2018
490,Jared Dudley,2008,2018
491,Chris Duhon,2005,2013
492,Duje Dukan,2016,2016
493,Richard Dumas,1993,1996
494,Tony Dumas,1995,1998
495,Tim Duncan,1998,2016
496,Mike Dunleavy,2003,2017
497,Kris Dunn,2017,2018
498,Ronald Dupree,2004,2011
499,Kevin Durant,2008,2018
500,Pat Durham,1993,1995
501,Jerome Dyson,2012,2012
502,Acie Earl,1994,1997
503,Cleanthony Early,2015,2016
504,Devin Ebanks,2011,2013
505,Ndudi Ebi,2004,2005
506,Jarell Eddie,2016,2017
507,Patrick Eddie,1992,1992
508,Tyus Edney,1996,2001
509,Bill Edwards,1994,1994
510,Corsley Edwards,2005,2005
511,Doug Edwards,1994,1996
512,John Edwards,2005,2006
513,Shane Edwards,2014,2014
514,Howard Eisley,1995,2006
515,Obinna Ekezie,2000,2005
516,Khalid El-Amin,2001,2001
517,Mario Elie,1991,2001
518,Henry Ellenson,2017,2018
519,Wayne Ellington,2010,2018
520,Harold Ellis,1994,1998
521,LaPhonso Ellis,1993,2003
522,LeRon Ellis,1992,1996
523,Monta Ellis,2006,2017
524,Francisco Elson,2004,2012
525,Melvin Ely,2003,2014
526,Joel Embiid,2017,2018
527,Andre Emmett,2005,2012
528,A.J. English,1991,1992
529,Jo Jo English,1993,1995
530,Kim English,2013,2013
531,James Ennis,2015,2018
532,Tyler Ennis,2015,2018
533,Semih Erden,2011,2012
534,Evan Eschmeyer,2000,2003
535,Vincenzo Esposito,1996,1996
536,Brian Evans,1997,1999
537,Jawun Evans,2018,2018
538,Jeremy Evans,2011,2016
539,Maurice Evans,2002,2012
540,Reggie Evans,2003,2015
541,Tyreke Evans,2010,2018
542,Daniel Ewing,2006,2007
543,Patrick Ewing,2011,2011
544,Dante Exum,2015,2017
545,Christian Eyenga,2011,2012
546,Festus Ezeli,2013,2016
547,Kenneth Faried,2012,2018
548,Jordan Farmar,2007,2017
549,Desmon Farmer,2007,2009
550,Tony Farmer,1998,2000
551,Vitor Faverani,2014,2014
552,Derrick Favors,2011,2018
553,Nick Fazekas,2008,2008
554,Jamie Feick,1997,2001
555,Kay Felder,2017,2018
556,Cristiano Felicio,2016,2018
557,Carrick Felix,2014,2014
558,Noel Felix,2006,2006
559,Raymond Felton,2006,2018
560,Desmond Ferguson,2004,2004
561,Terrance Ferguson,2018,2018
