,Player,year_start,year_end,Year,Salary
0,A.J. Bramlett,2000,2000,2000,118974
1,A.J. English,1991,1992,1991,275000
2,A.J. English,1991,1992,1992,325000
3,A.J. English,1991,1992,1993,406000
4,A.J. English,1991,1992,1994,150000
5,A.J. Guyton,2001,2003,2001,316969
6,A.J. Guyton,2001,2003,2002,465850
7,A.J. Guyton,2001,2003,2003,18748
8,A.J. Price,2010,2015,2010,457588
9,A.J. Price,2010,2015,2011,762195
10,A.J. Price,2010,2015,2012,854389
11,A.J. Price,2010,2015,2013,885120
12,A.J. Price,2010,2015,2014,947907
13,A.J. Price,2010,2015,2015,13761428148462552
14,A.J. Wynder,1991,1991,1991,30000
15,A.J. Wynder,1991,1991,1992,130000
16,A.J. Wynder,1991,1991,1993,140000
17,Aaron Brooks,2008,2018,2008,972720
18,Aaron Brooks,2008,2018,2009,1045560
19,Aaron Brooks,2008,2018,2010,1118520
20,Aaron Brooks,2008,2018,2011,2016692
21,Aaron Brooks,2008,2018,2013,3250000
22,Aaron Brooks,2008,2018,2014,947907
23,Aaron Brooks,2008,2018,2015,915243
24,Aaron Brooks,2008,2018,2016,2250000
25,Aaron Brooks,2008,2018,2017,2700000
26,Aaron Gordon,2015,2018,2015,3992040
27,Aaron Gordon,2015,2018,2016,4171680
28,Aaron Gordon,2015,2018,2017,4351320
29,Aaron Gray,2008,2014,2008,427163
30,Aaron Gray,2008,2014,2009,711517
31,Aaron Gray,2008,2014,2010,1000497
32,Aaron Gray,2008,2014,2011,1028840
33,Aaron Gray,2008,2014,2012,2500000
34,Aaron Gray,2008,2014,2013,2575000
35,Aaron Gray,2008,2014,2014,2690875
36,Aaron Gray,2008,2014,2015,1227985
37,Aaron Gray,2008,2014,2016,1356146
38,Aaron Harrison,2016,2017,2016,525093
39,Aaron Harrison,2016,2017,2017,874636
40,Aaron McKie,1995,2007,1995,650000
41,Aaron McKie,1995,2007,1996,845000
42,Aaron McKie,1995,2007,1997,1040000
43,Aaron McKie,1995,2007,1998,1235000
44,Aaron McKie,1995,2007,1999,1430000
45,Aaron McKie,1995,2007,2000,1624000
46,Aaron McKie,1995,2007,2001,1818000
47,Aaron McKie,1995,2007,2002,4000000
48,Aaron McKie,1995,2007,2003,4500000
49,Aaron McKie,1995,2007,2004,5000000
50,Aaron McKie,1995,2007,2005,5500000
51,Aaron McKie,1995,2007,2006,25000006000000
52,Aaron McKie,1995,2007,2007,25000005570874
53,Aaron McKie,1995,2007,2008,7500007000000
54,Aaron Miles,2006,2006,2006,155614
55,Aaron Swinson,1995,1995,1995,102424
56,Aaron Williams,1994,2008,1995,150000
57,Aaron Williams,1994,2008,1997,169000
58,Aaron Williams,1994,2008,1998,500000
