Player,Year,Team, Salary 
Haywoode Workman,1991,Washington Bullets,"  120,000 "
Jim Petersen,1991,Golden State Warriors,"  1,235,000 "
Tyrone Hill,1991,Golden State Warriors,"  1,000,000 "
Mitch Richmond,1991,Golden State Warriors,"  850,000 "
Les Jepsen,1991,Golden State Warriors,"  505,000 "
Rod Higgins,1991,Golden State Warriors,"  500,000 "
Tim Hardaway,1991,Golden State Warriors,"  500,000 "
Tom Tolbert,1991,Golden State Warriors,"  405,000 "
Kevin Pritchard,1991,Golden State Warriors,"  185,000 "
Sarunas Marciulionis,1991,Golden State Warriors,"  1,270,000 "
Paul Mokeski,1991,Golden State Warriors,"  100,000 "
Hakeem Olajuwon,1991,Houston Rockets,"  3,175,000 "
Otis Thorpe,1991,Houston Rockets,"  1,760,000 "
Sleepy Floyd,1991,Houston Rockets,"  1,400,000 "
Larry Smith,1991,Houston Rockets,"  800,000 "
Kenny Smith,1991,Houston Rockets,"  700,000 "
Buck Johnson,1991,Houston Rockets,"  675,000 "
Dave Jamerson,1991,Houston Rockets,"  650,000 "
David Wood,1991,Houston Rockets,"  300,000 "
Mario Elie,1991,Golden State Warriors,"  50,000 "
Adrian Caldwell,1991,Houston Rockets,"  275,000 "
Alton Lister,1991,Golden State Warriors,"  1,700,000 "
Gerald Henderson,1991,Detroit Pistons,"  125,000 "
Bill Hanzlik,1991,Denver Nuggets,"  510,000 "
Jerome Lane,1991,Denver Nuggets,"  500,000 "
Anthony Cook,1991,Denver Nuggets,"  370,000 "
Kenny Battle,1991,Denver Nuggets,"  350,000 "
Marcus Liberty,1991,Denver Nuggets,"  210,000 "
Isiah Thomas,1991,Detroit Pistons,"  2,720,000 "
Bill Laimbeer,1991,Detroit Pistons,"  1,510,000 "
Vinnie Johnson,1991,Detroit Pistons,"  1,400,000 "
Chris Mullin,1991,Golden State Warriors,"  2,850,000 "
Mark Aguirre,1991,Detroit Pistons,"  1,115,000 "
James Edwards,1991,Detroit Pistons,"  935,000 "
Dennis Rodman,1991,Detroit Pistons,"  880,000 "
William Bedford,1991,Detroit Pistons,"  850,000 "
Tree Rollins,1991,Detroit Pistons,"  800,000 "
John Salley,1991,Detroit Pistons,"  575,000 "
Scott Hastings,1991,Detroit Pistons,"  450,000 "
Lance Blanks,1991,Detroit Pistons,"  365,000 "
John Long,1991,Detroit Pistons,"  150,000 "
Joe Dumars,1991,Detroit Pistons,"  1,035,000 "
Todd Lichti,1991,Denver Nuggets,"  565,000 "
Dave Feitl,1991,Houston Rockets,"  275,000 "
Kennard Winchester,1991,Houston Rockets,"  120,000 "
Ken Bannister,1991,Los Angeles Clippers,"  400,000 "
Tom Garrick,1991,Los Angeles Clippers,"  340,000 "
Mike Smrek,1991,Los Angeles Clippers,"  325,000 "
Jeff Martin,1991,Los Angeles Clippers,"  210,000 "
Magic Johnson,1991,Los Angeles Lakers,"  2,400,000 "
Sam Perkins,1991,Los Angeles Lakers,"  1,970,000 "
A.C. Green,1991,Los Angeles Lakers,"  1,750,000 "
James Worthy,1991,Los Angeles Lakers,"  1,600,000 "
Winston Garland,1991,Los Angeles Clippers,"  450,000 "
Byron Scott,1991,Los Angeles Lakers,"  1,100,000 "
Mychal Thompson,1991,Los Angeles Lakers,"  615,000 "
Elden Campbell,1991,Los Angeles Lakers,"  575,000 "
Larry Drew,1991,Los Angeles Lakers,"  550,000 "
Terry Teagle,1991,Los Angeles Lakers,"  550,000 "
Irving Thomas,1991,Los Angeles Lakers,"  120,000 "
Tony Smith,1991,Los Angeles Lakers,"  120,000 "
Willie Burton,1991,Miami Heat,"  2,000,000 "
Alec Kessler,1991,Miami Heat,"  1,600,000 "
Vlade Divac,1991,Los Angeles Lakers,"  770,000 "
Vernon Maxwell,1991,Houston Rockets,"  250,000 "
Gary Grant,1991,Los Angeles Clippers,"  530,000 "
Loy Vaught,1991,Los Angeles Clippers,"  825,000 "
Matt Bullard,1991,Houston Rockets,"  120,000 "
Chuck Person,1991,Indiana Pacers,"  2,150,000 "
LaSalle Thompson,1991,Indiana Pacers,"  2,000,000 "
Rik Smits,1991,Indiana Pacers,"  1,350,000 "
Detlef Schrempf,1991,Indiana Pacers,"  1,160,000 "
George McCloud,1991,Indiana Pacers,"  940,000 "
Mike Sanders,1991,Indiana Pacers,"  760,000 "
Vern Fleming,1991,Indiana Pacers,"  667,000 "
Olden Polynice,1991,Los Angeles Clippers,"  600,000 "
Reggie Miller,1991,Indiana Pacers,"  654,000 "
Micheal Williams,1991,Indiana Pacers,"  325,000 "
Greg Dreiling,1991,Indiana Pacers,"  300,000 "
Kenny Williams,1991,Indiana Pacers,"  175,000 "
Danny Manning,1991,Los Angeles Clippers,"  2,200,000 "
Ron Harper,1991,Los Angeles Clippers,"  1,365,000 "
Ken Norman,1991,Los Angeles Clippers,"  1,050,000 "
Charles Smith,1991,Los Angeles Clippers,"  1,000,000 "
Bo Kimble,1991,Los Angeles Clippers,"  950,000 "
Randy Wittman,1991,Indiana Pacers,"  500,000 "
Orlando Woolridge,1991,Denver Nuggets,"  805,000 "
Michael Adams,1991,Denver Nuggets,"  825,000 "
Joe Wolf,1991,Denver Nuggets,"  990,000 "
Reggie Lewis,1991,Boston Celtics,"  400,000 "
Kevin Gamble,1991,Boston Celtics,"  375,000 "
Derek Smith,1991,Boston Celtics,"  315,000 "
Stojko Vrankovic,1991,Boston Celtics,"  222,000 "
Dave Popson,1991,Boston Celtics,"  80,000 "
A.J. Wynder,1991,Boston Celtics,"  30,000 "
Mike Gminski,1991,Charlotte Hornets,"  1,650,000 "
Kendall Gill,1991,Charlotte Hornets,"  1,500,000 "
Michael Smith,1991,Boston Celtics,"  525,000 "
J.R. Reid,1991,Charlotte Hornets,"  1,250,000 "
Kelly Tripucka,1991,Charlotte Hornets,"  1,000,000 "
Dell Curry,1991,Charlotte Hornets,"  900,000 "
Muggsy Bogues,1991,Charlotte Hornets,"  805,000 "
Rex Chapman,1991,Charlotte Hornets,"  675,000 "
Eric Leckner,1991,Charlotte Hornets,"  485,000 "
Kenny Gattison,1991,Charlotte Hornets,"  355,000 "
Randolph Keys,1991,Charlotte Hornets,"  322,000 "
Steve Scheffler,1991,Charlotte Hornets,"  200,000 "
Johnny Newman,1991,Charlotte Hornets,"  1,200,000 "
Scott Haffner,1991,Charlotte Hornets,"  75,000 "
Dee Brown,1991,Boston Celtics,"  547,000 "
Ed Pinckney,1991,Boston Celtics,"  750,000 "
Moses Malone,1991,Atlanta Hawks,"  2,406,000 "
Dominique Wilkins,1991,Atlanta Hawks,"  2,065,000 "
Jon Koncak,1991,Atlanta Hawks,"  1,550,000 "
Doc Rivers,1991,Atlanta Hawks,"  895,000 "
Rumeal Robinson,1991,Atlanta Hawks,"  800,000 "
Tim McCormick,1991,Atlanta Hawks,"  775,000 "
Kevin Willis,1991,Atlanta Hawks,"  685,000 "
Alexander Volkov,1991,Atlanta Hawks,"  650,000 "
John Bagley,1991,Boston Celtics,"  550,000 "
John Battle,1991,Atlanta Hawks,"  590,000 "
Spud Webb,1991,Atlanta Hawks,"  510,000 "
Gary Leonard,1991,Atlanta Hawks,"  200,000 "
Duane Ferrell,1991,Atlanta Hawks,"  125,000 "
Robert Parish,1991,Boston Celtics,"  2,500,000 "
Larry Bird,1991,Boston Celtics,"  1,500,000 "
Kevin McHale,1991,Boston Celtics,"  1,400,000 "
Brian Shaw,1991,Boston Celtics,"  1,212,000 "
Joe Kleine,1991,Boston Celtics,"  850,000 "
Sidney Moncrief,1991,Atlanta Hawks,"  510,000 "
Michael Jordan,1991,Chicago Bulls,"  2,500,000 "
Bill Cartwright,1991,Chicago Bulls,"  1,100,000 "
Horace Grant,1991,Chicago Bulls,"  1,000,000 "
Henry James,1991,Cleveland Cavaliers,"  75,000 "
Rolando Blackman,1991,Dallas Mavericks,"  1,650,000 "
Derek Harper,1991,Dallas Mavericks,"  1,519,000 "
Fat Lever,1991,Dallas Mavericks,"  1,519,000 "
Alex English,1991,Dallas Mavericks,"  1,500,000 "
Herb Williams,1991,Dallas Mavericks,"  1,000,000 "
Rodney McCray,1991,Dallas Mavericks,"  985,000 "
James Donaldson,1991,Dallas Mavericks,"  880,000 "
Darnell Valentine,1991,Cleveland Cavaliers,"  100,000 "
Roy Tarpley,1991,Dallas Mavericks,"  765,000 "
Brad Davis,1991,Dallas Mavericks,"  600,000 "
Steve Alford,1991,Dallas Mavericks,"  250,000 "
John Shasky,1991,Dallas Mavericks,"  150,000 "
Jim Grandholm,1991,Dallas Mavericks,"  115,000 "
Kelvin Upshaw,1991,Dallas Mavericks,"  30,000 "
Blair Rasmussen,1991,Denver Nuggets,"  2,185,000 "
Mahmoud Abdul-Rauf,1991,Denver Nuggets,"  1,660,000 "
Greg Anderson,1991,Denver Nuggets,"  1,365,000 "
Randy White,1991,Dallas Mavericks,"  730,000 "
Gerald Paddio,1991,Cleveland Cavaliers,"  120,000 "
Milos Babic,1991,Cleveland Cavaliers,"  200,000 "
John Morton,1991,Cleveland Cavaliers,"  350,000 "
Stacey King,1991,Chicago Bulls,"  1,000,000 "
Dennis Hopson,1991,Chicago Bulls,"  915,000 "
Scottie Pippen,1991,Chicago Bulls,"  765,000 "
Cliff Levingston,1991,Chicago Bulls,"  750,000 "
Craig Hodges,1991,Chicago Bulls,"  600,000 "
Will Perdue,1991,Chicago Bulls,"  450,000 "
B.J. Armstrong,1991,Chicago Bulls,"  425,000 "
John Paxson,1991,Chicago Bulls,"  385,000 "
Scott Williams,1991,Chicago Bulls,"  150,000 "
Hot Rod Williams,1991,Cleveland Cavaliers,"  3,785,000 "
Danny Ferry,1991,Cleveland Cavaliers,"  2,640,000 "
Mark Price,1991,Cleveland Cavaliers,"  1,400,000 "
Brad Daugherty,1991,Cleveland Cavaliers,"  1,320,000 "
Larry Nance,1991,Cleveland Cavaliers,"  1,260,000 "
Craig Ehlo,1991,Cleveland Cavaliers,"  925,000 "
Chucky Brown,1991,Cleveland Cavaliers,"  630,000 "
Steve Kerr,1991,Cleveland Cavaliers,"  548,000 "
