,Player,Year,Team,Salary
0,Haywoode Workman,1991,Washington Bullets,120000
1,Jim Petersen,1991,Golden State Warriors,1235000
2,Tyrone Hill,1991,Golden State Warriors,1000000
3,Mitch Richmond,1991,Golden State Warriors,850000
4,Les Jepsen,1991,Golden State Warriors,505000
5,Rod Higgins,1991,Golden State Warriors,500000
6,Tim Hardaway,1991,Golden State Warriors,500000
7,Tom Tolbert,1991,Golden State Warriors,405000
8,Kevin Pritchard,1991,Golden State Warriors,185000
9,Sarunas Marciulionis,1991,Golden State Warriors,1270000
10,Paul Mokeski,1991,Golden State Warriors,100000
11,Hakeem Olajuwon,1991,Houston Rockets,3175000
12,Otis Thorpe,1991,Houston Rockets,1760000
13,Sleepy Floyd,1991,Houston Rockets,1400000
14,Larry Smith,1991,Houston Rockets,800000
15,Kenny Smith,1991,Houston Rockets,700000
16,Buck Johnson,1991,Houston Rockets,675000
17,Dave Jamerson,1991,Houston Rockets,650000
18,David Wood,1991,Houston Rockets,300000
19,Mario Elie,1991,Golden State Warriors,50000
20,Adrian Caldwell,1991,Houston Rockets,275000
21,Alton Lister,1991,Golden State Warriors,1700000
22,Gerald Henderson,1991,Detroit Pistons,125000
23,Bill Hanzlik,1991,Denver Nuggets,510000
24,Jerome Lane,1991,Denver Nuggets,500000
25,Anthony Cook,1991,Denver Nuggets,370000
26,Kenny Battle,1991,Denver Nuggets,350000
27,Marcus Liberty,1991,Denver Nuggets,210000
28,Isiah Thomas,1991,Detroit Pistons,2720000
29,Bill Laimbeer,1991,Detroit Pistons,1510000
30,Vinnie Johnson,1991,Detroit Pistons,1400000
31,Chris Mullin,1991,Golden State Warriors,2850000
32,Mark Aguirre,1991,Detroit Pistons,1115000
33,James Edwards,1991,Detroit Pistons,935000
34,Dennis Rodman,1991,Detroit Pistons,880000
35,William Bedford,1991,Detroit Pistons,850000
36,Tree Rollins,1991,Detroit Pistons,800000
37,John Salley,1991,Detroit Pistons,575000
38,Scott Hastings,1991,Detroit Pistons,450000
39,Lance Blanks,1991,Detroit Pistons,365000
40,John Long,1991,Detroit Pistons,150000
41,Joe Dumars,1991,Detroit Pistons,1035000
42,Todd Lichti,1991,Denver Nuggets,565000
43,Dave Feitl,1991,Houston Rockets,275000
44,Kennard Winchester,1991,Houston Rockets,120000
45,Ken Bannister,1991,Los Angeles Clippers,400000
46,Tom Garrick,1991,Los Angeles Clippers,340000
47,Mike Smrek,1991,Los Angeles Clippers,325000
48,Jeff Martin,1991,Los Angeles Clippers,210000
49,Magic Johnson,1991,Los Angeles Lakers,2400000
50,Sam Perkins,1991,Los Angeles Lakers,1970000
51,A.C. Green,1991,Los Angeles Lakers,1750000
52,James Worthy,1991,Los Angeles Lakers,1600000
53,Winston Garland,1991,Los Angeles Clippers,450000
54,Byron Scott,1991,Los Angeles Lakers,1100000
55,Mychal Thompson,1991,Los Angeles Lakers,615000
56,Elden Campbell,1991,Los Angeles Lakers,575000
57,Larry Drew,1991,Los Angeles Lakers,550000
58,Terry Teagle,1991,Los Angeles Lakers,550000
59,Irving Thomas,1991,Los Angeles Lakers,120000
60,Tony Smith,1991,Los Angeles Lakers,120000
61,Willie Burton,1991,Miami Heat,2000000
62,Alec Kessler,1991,Miami Heat,1600000
63,Vlade Divac,1991,Los Angeles Lakers,770000
64,Vernon Maxwell,1991,Houston Rockets,250000
65,Gary Grant,1991,Los Angeles Clippers,530000
66,Loy Vaught,1991,Los Angeles Clippers,825000
68,Chuck Person,1991,Indiana Pacers,2150000
69,LaSalle Thompson,1991,Indiana Pacers,2000000
70,Rik Smits,1991,Indiana Pacers,1350000
71,Detlef Schrempf,1991,Indiana Pacers,1160000
72,George McCloud,1991,Indiana Pacers,940000
73,Mike Sanders,1991,Indiana Pacers,760000
74,Vern Fleming,1991,Indiana Pacers,667000
75,Olden Polynice,1991,Los Angeles Clippers,600000
76,Reggie Miller,1991,Indiana Pacers,654000
77,Micheal Williams,1991,Indiana Pacers,325000
78,Greg Dreiling,1991,Indiana Pacers,300000
79,Kenny Williams,1991,Indiana Pacers,175000
80,Danny Manning,1991,Los Angeles Clippers,2200000
81,Ron Harper,1991,Los Angeles Clippers,1365000
82,Ken Norman,1991,Los Angeles Clippers,1050000
83,Charles Smith,1991,Los Angeles Clippers,1000000
84,Bo Kimble,1991,Los Angeles Clippers,950000
85,Randy Wittman,1991,Indiana Pacers,500000
86,Orlando Woolridge,1991,Denver Nuggets,805000
87,Michael Adams,1991,Denver Nuggets,825000
88,Joe Wolf,1991,Denver Nuggets,990000
89,Reggie Lewis,1991,Boston Celtics,400000
90,Kevin Gamble,1991,Boston Celtics,375000
91,Derek Smith,1991,Boston Celtics,315000
92,Stojko Vrankovic,1991,Boston Celtics,222000
93,Dave Popson,1991,Boston Celtics,80000
94,A.J. Wynder,1991,Boston Celtics,30000
95,Mike Gminski,1991,Charlotte Hornets,1650000
96,Kendall Gill,1991,Charlotte Hornets,1500000
97,Michael Smith,1991,Boston Celtics,525000
98,J.R. Reid,1991,Charlotte Hornets,1250000
99,Kelly Tripucka,1991,Charlotte Hornets,1000000
100,Dell Curry,1991,Charlotte Hornets,900000
101,Muggsy Bogues,1991,Charlotte Hornets,805000
102,Rex Chapman,1991,Charlotte Hornets,675000
103,Eric Leckner,1991,Charlotte Hornets,485000
104,Kenny Gattison,1991,Charlotte Hornets,355000
105,Randolph Keys,1991,Charlotte Hornets,322000
106,Steve Scheffler,1991,Charlotte Hornets,200000
107,Johnny Newman,1991,Charlotte Hornets,1200000
108,Scott Haffner,1991,Charlotte Hornets,75000
109,Dee Brown,1991,Boston Celtics,547000
110,Ed Pinckney,1991,Boston Celtics,750000
111,Moses Malone,1991,Atlanta Hawks,2406000
112,Dominique Wilkins,1991,Atlanta Hawks,2065000
113,Jon Koncak,1991,Atlanta Hawks,1550000
114,Doc Rivers,1991,Atlanta Hawks,895000
115,Rumeal Robinson,1991,Atlanta Hawks,800000
116,Tim McCormick,1991,Atlanta Hawks,775000
117,Kevin Willis,1991,Atlanta Hawks,685000
118,Alexander Volkov,1991,Atlanta Hawks,650000
119,John Bagley,1991,Boston Celtics,550000
120,John Battle,1991,Atlanta Hawks,590000
121,Spud Webb,1991,Atlanta Hawks,510000
122,Gary Leonard,1991,Atlanta Hawks,200000
123,Duane Ferrell,1991,Atlanta Hawks,125000
124,Robert Parish,1991,Boston Celtics,2500000
125,Larry Bird,1991,Boston Celtics,1500000
126,Kevin McHale,1991,Boston Celtics,1400000
127,Brian Shaw,1991,Boston Celtics,1212000
128,Joe Kleine,1991,Boston Celtics,850000
129,Sidney Moncrief,1991,Atlanta Hawks,510000
130,Michael Jordan,1991,Chicago Bulls,2500000
131,Bill Cartwright,1991,Chicago Bulls,1100000
132,Horace Grant,1991,Chicago Bulls,1000000
133,Henry James,1991,Cleveland Cavaliers,75000
134,Rolando Blackman,1991,Dallas Mavericks,1650000
135,Derek Harper,1991,Dallas Mavericks,1519000
136,Fat Lever,1991,Dallas Mavericks,1519000
